date,rainfall_mm,SPI_1,SPI_category
1996-06-01,102.54,-0.5069671949779492,Near Normal
1996-07-01,119.07,0.2948697921189552,Near Normal
1996-08-01,111.42,0.15399677070890275,Near Normal
1996-09-01,132.1,0.489332755975543,Near Normal
1996-10-01,82.03,-0.26553622007137134,Near Normal
1996-11-01,112.98,0.8493948281875414,Near Normal
1996-12-01,21.33,-1.0365584521776219,Moderate Drought
1997-01-01,27.77,-0.3369753456859447,Near Normal
1997-02-01,113.34,3.0578508715948636,Extremely Wet
1997-03-01,59.92,-0.5867668926472955,Near Normal
1997-04-01,85.04,-0.40948616075366384,Near Normal
1997-05-01,130.24,-0.2345890117943613,Near Normal
1997-06-01,165.68,0.6219796755866998,Near Normal
1997-07-01,111.85,0.15409246347885325,Near Normal
1997-08-01,92.7,-0.14341915768116484,Near Normal
1997-09-01,114.0,0.19032340090923852,Near Normal
1997-10-01,64.16,-0.5969567781591785,Near Normal
1997-11-01,69.78999999999999,-0.0445222251894162,Near Normal
1997-12-01,64.78,0.4861773617491803,Near Normal
1998-01-01,60.06,1.3584482704686545,Moderately Wet
1998-02-01,18.23,-0.9147710496075947,Near Normal
1998-03-01,114.38,1.0568049897985867,Moderately Wet
1998-04-01,66.6,-0.7112659840326854,Near Normal
1998-05-01,49.54,-1.525342176642203,Severe Drought
1998-06-01,193.71,1.1231577050755674,Moderately Wet
1998-07-01,198.75,1.848489950850718,Very Wet
1998-08-01,35.18,-1.057274082948082,Moderate Drought
1998-09-01,235.65,2.1999636243244844,Extremely Wet
1998-10-01,160.7,1.193493175830575,Moderately Wet
1998-11-01,73.8,0.038474009680729754,Near Normal
1998-12-01,63.73,0.4493793731502586,Near Normal
1999-01-01,47.66,0.7073719979286409,Near Normal
1999-02-01,43.45,0.13863579355007527,Near Normal
1999-03-01,63.7,-0.47268863859578186,Near Normal
1999-04-01,160.26000000000002,0.8215267626220406,Near Normal
1999-05-01,138.25,-0.10647336309013335,Near Normal
1999-06-01,145.87,0.26777572395721455,Near Normal
1999-07-01,41.42,-1.219168929335881,Moderate Drought
1999-08-01,84.59,-0.2722676181108362,Near Normal
1999-09-01,157.69,0.912075816536136,Near Normal
1999-10-01,30.35,-1.2240037322133897,Moderate Drought
1999-11-01,38.510000000000005,-0.6919342518074114,Near Normal
1999-12-01,55.83,0.17251831607265825,Near Normal
2000-01-01,22.55,-0.6110574539648858,Near Normal
2000-02-01,41.76,0.06804667519414874,Near Normal
2000-03-01,98.39,0.5742358675013106,Near Normal
2000-04-01,38.82,-1.165899578972556,Moderate Drought
2000-05-01,88.72,-0.8986791159391245,Near Normal
2000-06-01,184.98,0.9670647975679748,Near Normal
2000-07-01,74.61,-0.57202217898062,Near Normal
2000-08-01,9.3,-1.4684452489061455,Moderate Drought
2000-09-01,57.04,-0.7506474755867122,Near Normal
2000-10-01,90.4,-0.11030454289202343,Near Normal
2000-11-01,55.57,-0.33883805058928484,Near Normal
2000-12-01,35.67,-0.5340030650266357,Near Normal
2001-01-01,36.62,0.12770409076398398,Near Normal
2001-02-01,83.96000000000001,1.83068619863799,Very Wet
2001-03-01,59.330000000000005,-0.604572757697664,Near Normal
2001-04-01,97.98,-0.19771658845265866,Near Normal
2001-05-01,126.1,-0.3008060886527267,Near Normal
2001-06-01,153.64,0.4067037756564116,Near Normal
2001-07-01,156.43,1.0233242239741092,Moderately Wet
2001-08-01,51.080000000000005,-0.8046611950526719,Near Normal
2001-09-01,123.95,0.3546959469263507,Near Normal
2001-10-01,88.92999999999999,-0.13756745393785896,Near Normal
2001-11-01,26.76,-0.935127708097739,Near Normal
2001-12-01,32.07,-0.6601675973657954,Near Normal
2002-01-01,44.8,0.5572044060363476,Near Normal
2002-02-01,27.16,-0.5417764774665166,Near Normal
2002-03-01,39.89,-1.1912609213911631,Moderate Drought
2002-04-01,103.33,-0.11016116250131579,Near Normal
2002-05-01,197.01,0.8333612833343914,Near Normal
2002-06-01,106.94,-0.42829493918947203,Near Normal
2002-07-01,95.59,-0.1629489996358361,Near Normal
2002-08-01,49.28,-0.8332588804747939,Near Normal
2002-09-01,54.8,-0.7876519482579013,Near Normal
2002-10-01,93.04,-0.06134258019746211,Near Normal
2002-11-01,20.22,-1.070488151003164,Moderate Drought
2002-12-01,35.79,-0.5297975806153306,Near Normal
2003-01-01,18.82,-0.8069053972370027,Near Normal
2003-02-01,58.08,0.7497120074833309,Near Normal
2003-03-01,63.99,-0.46393660323204144,Near Normal
2003-04-01,86.21,-0.3903385255456133,Near Normal
2003-05-01,119.7,-0.4031706519120349,Near Normal
2003-06-01,103.34,-0.4926631484709533,Near Normal
2003-07-01,38.25,-1.2809783658717706,Moderate Drought
2003-08-01,148.56,0.744062346585351,Near Normal
2003-09-01,81.56,-0.34558065866816035,Near Normal
2003-10-01,46.81,-0.918733313291996,Near Normal
2003-11-01,55.650000000000006,-0.3371822653549676,Near Normal
2003-12-01,86.69,1.254028723846677,Moderately Wet
2004-01-01,46.68,0.6559159699375755,Near Normal
2004-02-01,22.21,-0.7485315874439339,Near Normal
2004-03-01,137.32,1.7491211665027464,Very Wet
2004-04-01,93.87,-0.2649787941835034,Near Normal
2004-05-01,103.65,-0.6598817832107691,Near Normal
2004-06-01,162.68,0.5683395011854653,Near Normal
2004-07-01,146.17,0.8232722306434376,Near Normal
2004-08-01,65.92,-0.5688891663502893,Near Normal
2004-09-01,40.56,-1.0228946673818888,Moderate Drought
